Car Name,Link,Year,KMage
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103436883-7fdb397d/,2010,248890
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103439625-bae28dda/,2014,113700
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103102866-f774cfbf/,2013,61786
Opel Meriva B,https://auto.ru/cars/used/sale/opel/meriva/1103437255-9dfb42ee/,2012,63000
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103305906-b110e21e/,2013,142650
Opel Combo PCMA,https://auto.ru/cars/new/group/opel/combo/22826605/22827069/1103357122-de630584/,2021,0
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1102756008-0145627c/,2012,181786
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103437359-bb56ee3c/,2012,104634
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1103298199-7dd9cb53/,2021,0
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103439687-4af88f70/,2013,84306
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103391634-fd9d925e/,2011,214000
Opel Antara I Рестайлинг,https://auto.ru/cars/used/sale/opel/antara/1102976637-f9dee90f/,2014,193000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1103298198-b0296cc9/,2021,0
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103437283-8bf9ad92/,2011,133409
Opel Antara I Рестайлинг,https://auto.ru/cars/used/sale/opel/antara/1103191413-6248cc27/,2014,165000
Opel Corsa D Рестайлинг II,https://auto.ru/cars/used/sale/opel/corsa/1103015094-fda8ab3f/,2011,152000
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103084585-6ab92331/,2012,124000
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103243967-6b6dd512/,2012,162000
Opel Corsa D Рестайлинг II,https://auto.ru/cars/used/sale/opel/corsa/1103438189-3f10bcf9/,2011,72000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1102223291-2379b7d1/,2020,0
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103437289-2e30d685/,2009,175652
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103085684-8638da56/,2013,186277
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103204039-e5d1c31f/,2011,54536
Opel Corsa D Рестайлинг II,https://auto.ru/cars/used/sale/opel/corsa/1103408071-d1463d42/,2011,122893
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1102681749-ec0729fe/,2021,0
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103400042-8ef825bb/,2013,114171
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103398758-18d3fedd/,2012,222130
Opel Zafira Life I,https://auto.ru/cars/new/group/opel/zafira_life/21743449/21743614/1102811051-f02441a9/,2021,0
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103424071-a58231fe/,2012,141577
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103435395-3144815b/,2013,181758
Opel Insignia I Рестайлинг,https://auto.ru/cars/used/sale/opel/insignia/1103435826-e8737e74/,2014,114800
Opel Zafira A Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103365351-b85acfd6/,2005,256000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1103357123-b9742bda/,2021,0
Opel Astra H Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103435827-996f6e09/,2008,193500
Opel Corsa D Рестайлинг II,https://auto.ru/cars/used/sale/opel/corsa/1103015114-6926be29/,2013,72173
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1102950662-fa08de71/,2010,176000
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1103245653-b666232e/,2007,128000
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103434361-b36fb6e5/,2012,134535
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1103072390-3ab907b8/,2021,0
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103183423-675e5122/,2014,157743
Opel Meriva B,https://auto.ru/cars/used/sale/opel/meriva/1103277616-4055c193/,2012,180408
Opel Corsa D Рестайлинг II,https://auto.ru/cars/used/sale/opel/corsa/1102922127-7505bab6/,2013,73877
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1102929562-e9cb9ef6/,2014,157257
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1102632855-7a48a2ac/,2021,0
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1103434953-2e4a29ba/,2008,88900
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103388595-2a0b9b76/,2011,168572
Opel Astra H,https://auto.ru/cars/used/sale/opel/astra/1103432867-d15b0d91/,2006,171000
Opel Meriva B,https://auto.ru/cars/used/sale/opel/meriva/1103432868-cafd4564/,2012,209000
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103435464-4c775174/,2014,68483
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1102678887-f6543263/,2013,123521
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1103298200-c9d04065/,2021,0
Opel Meriva A Рестайлинг,https://auto.ru/cars/used/sale/opel/meriva/1103429690-71352428/,2006,241483
Opel Insignia I,https://auto.ru/cars/used/sale/opel/insignia/1103429709-dd7fdb34/,2011,140359
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103241515-eeda28b3/,2012,171489
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103428315-12789fe2/,2006,110256
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1103417779-757cbc89/,2021,0
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1103310530-3b55497b/,2008,89250
Opel Vectra C Рестайлинг,https://auto.ru/cars/used/sale/opel/vectra/1103171127-d1a7d7fd/,2008,209000
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103415283-df7a5da4/,2011,58973
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1102800662-097e5ade/,2012,99464
Opel Astra H Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103161959-57c314cd/,2007,191295
Opel Zafira Life I,https://auto.ru/cars/new/group/opel/zafira_life/21743449/21743614/1102917343-29aeb902/,2021,0
Opel Insignia I Рестайлинг,https://auto.ru/cars/used/sale/opel/insignia/1102987356-9dc90954/,2014,99494
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1102933240-80f465be/,2008,264021
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1103429566-2fd38b07/,2007,95192
Opel Zafira Life I,https://auto.ru/cars/new/group/opel/zafira_life/21743449/21743614/1102142338-9f2236b7/,2020,0
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103429146-28824611/,2012,115443
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103426880-b007fe82/,2013,109000
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103427841-7f8d2c71/,2013,181374
Opel Vivaro A Рестайлинг,https://auto.ru/cars/used/sale/opel/vivaro/1103422630-5b1d6337/,2008,323337
Opel Zafira B,https://auto.ru/cars/used/sale/opel/zafira/1103427131-e3e9d89a/,2006,147000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1102949296-f7b32b53/,2021,0
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103427521-e8278590/,2013,68275
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103402966-42e3ee58/,2014,97000
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103386206-0abb9432/,2013,71000
Opel Zafira Life I,https://auto.ru/cars/new/group/opel/zafira_life/21743449/21743614/1101594223-4396a64f/,2020,0
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103223165-110d343f/,2014,89000
Opel Insignia I,https://auto.ru/cars/used/sale/opel/insignia/1103426017-cf741b6b/,2012,90810
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103422905-1df6af9d/,2013,113000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1101661542-ca970160/,2020,0
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1103421006-fb9e539b/,2008,168509
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103308812-ce8881d4/,2008,126000
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103415361-7cc92805/,2013,103000
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103421776-74ed8c89/,2012,122500
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103422495-2fdbb07a/,2012,105730
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103331865-8636e68e/,2011,139663
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103422906-e786ac14/,2012,108000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1102859167-30e643a9/,2021,0
Opel Zafira C,https://auto.ru/cars/used/sale/opel/zafira/1103323053-d58a82de/,2013,89300
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103251805-251baa08/,2014,76082
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1102975918-00f43ef8/,2011,127026
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1103014896-94aa7076/,2008,116260
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1102681749-ec0729fe/,2021,0
Opel Astra G,https://auto.ru/cars/used/sale/opel/astra/1103239160-50fc2a1a/,1999,307000
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103251636-2e89e3ea/,2012,133291
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1102540934-1478abfb/,2021,0
Opel Meriva B,https://auto.ru/cars/used/sale/opel/meriva/1103349356-246b84b7/,2013,149080
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103000763-9a4069f9/,2012,163195
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103169216-761ff1d2/,2011,118404
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103251473-00aeec08/,2006,141177
Opel Corsa D Рестайлинг II,https://auto.ru/cars/used/sale/opel/corsa/1103259749-d6b1f1ea/,2013,290624
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103175332-b2fe2c1c/,2012,85030
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1101832333-5561cd2c/,2020,0
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103420936-897d9370/,2013,133221
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1103180129-0231e402/,2021,0
Opel Insignia I,https://auto.ru/cars/used/sale/opel/insignia/1103419996-53143885/,2010,143000
Opel Vectra B Рестайлинг,https://auto.ru/cars/used/sale/opel/vectra/1103324421-108f98b7/,1999,180000
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103422485-0a7f1651/,2014,105000
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103420018-8e9a47a9/,2012,121000
Opel Antara I,https://auto.ru/cars/used/sale/opel/antara/1102501135-39918ebe/,2011,112000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1103207085-338d97fc/,2021,0
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103417694-ff6461f7/,2011,110000
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103417286-1eed257e/,2012,59229
Opel Insignia I Рестайлинг,https://auto.ru/cars/used/sale/opel/insignia/1103417478-126f4de8/,2014,139004
Opel Astra H Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1101731668-e1f155a5/,2010,125000
Opel Corsa D Рестайлинг I,https://auto.ru/cars/used/sale/opel/corsa/1103304439-ee9ee7c0/,2010,67638
Opel Zafira C Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103207768-550d8a21/,2016,96457
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103207763-eb006d75/,2013,168375
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103167762-49e65509/,2015,106000
Opel Combo PCMA,https://auto.ru/cars/new/group/opel/combo/22826605/22827069/1103434733-c2f765dd/,2021,0
Opel Astra H Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103414289-bb69ee0e/,2008,90877
Opel Zafira Life I,https://auto.ru/cars/new/group/opel/zafira_life/21743449/21743614/1103294913-d275c1b3/,2021,0
Opel Insignia I Рестайлинг,https://auto.ru/cars/used/sale/opel/insignia/1102744264-a02cebfb/,2014,92080
Opel Corsa D Рестайлинг II,https://auto.ru/cars/used/sale/opel/corsa/1103301725-cc4a5d2c/,2012,88491
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103019581-00ba3ebc/,2013,42000
Opel Astra J Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103411436-aa2743e8/,2013,114000
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103412105-388bd640/,2011,122000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1103207089-ebff1edf/,2021,0
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1103133617-5f90ea17/,2007,173833
Opel Insignia I,https://auto.ru/cars/used/sale/opel/insignia/1103339603-2c778899/,2012,147745
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103334255-f0bd6d7a/,2013,140611
Opel Grandland X I,https://auto.ru/cars/new/group/opel/grandland_x/21742759/21743057/1103285212-d1345e36/,2021,0
Opel Meriva B,https://auto.ru/cars/used/sale/opel/meriva/1103407163-aba17484/,2012,143000
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103043898-b014f407/,2012,147000
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103407360-1fca7f5d/,2014,31101
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103408112-1fee0deb/,2014,79967
Opel Astra H Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103408025-3fff0f0a/,2010,156631
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103406846-ac48a302/,2011,79600
Opel Antara I Рестайлинг,https://auto.ru/cars/used/sale/opel/antara/1103406506-013ddd1c/,2014,92028
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1102960879-f7db1ae3/,2021,0
Opel Grandland X I,https://auto.ru/cars/new/group/opel/grandland_x/21742759/21743028/1103033936-35de99ff/,2020,0
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103404002-5a1e629f/,2012,98582
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103232849-4029c8c6/,2012,134969
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103100881-44158f8e/,2013,75775
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1103403953-e0ee1217/,2008,97222
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103403091-7a0dd77a/,2009,106000
Opel Grandland X I,https://auto.ru/cars/new/group/opel/grandland_x/21742759/21743057/1103285962-ee8b3bd3/,2020,0
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103236346-feaa6370/,2012,142268
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103404386-b41f96fc/,2012,145000
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103404252-2b2717d1/,2010,112000
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1102565068-22fae4c6/,2012,92500
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1103207092-7cdde094/,2021,0
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103401109-2f4b78a8/,2007,107483
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1102265565-a0ba5156/,2013,103000
Opel Antara I,https://auto.ru/cars/used/sale/opel/antara/1102666046-324923a0/,2008,134540
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103400277-5b6d5df8/,2011,109000
Opel Zafira Life I,https://auto.ru/cars/new/group/opel/zafira_life/21743449/21743614/1103032656-da197f31/,2021,0
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103399392-c3b37bc0/,2014,78761
Opel Vectra C Рестайлинг,https://auto.ru/cars/used/sale/opel/vectra/1103276201-3e30276e/,2007,121000
Opel Corsa D Рестайлинг II,https://auto.ru/cars/used/sale/opel/corsa/1103131097-ad356ac9/,2011,93000
Opel Meriva B,https://auto.ru/cars/used/sale/opel/meriva/1103201408-e4462fca/,2012,62000
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103394507-47169772/,2008,183850
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103395354-ddf8bbd3/,2011,124676
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103276573-28293ac1/,2015,63200
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103245825-e4c71ec7/,2011,117000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743614/1103284311-7dcb774c/,2021,0
Opel Astra G Classic,https://auto.ru/cars/used/sale/opel/astra/1103298695-05ada1f3/,2008,126000
Opel Meriva A Рестайлинг,https://auto.ru/cars/used/sale/opel/meriva/1103027093-3f36fd29/,2007,157000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1103032589-cf7ddfe0/,2020,0
Opel Meriva B,https://auto.ru/cars/used/sale/opel/meriva/1103132898-a216f9b7/,2012,80580
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103020043-24fcc9eb/,2009,198000
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1102918072-2ad5cb48/,2010,132000
Opel Combo PCMA,https://auto.ru/cars/new/group/opel/combo/22795616/22795893/1103283532-baf2fe3b/,2021,0
Opel Zafira B,https://auto.ru/cars/used/sale/opel/zafira/1103286926-a05e33b1/,2007,142356
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103301315-fd7a758e/,2011,138000
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1102988939-16aa80ad/,2008,367000
Opel Zafira C,https://auto.ru/cars/used/sale/opel/zafira/1103108085-1ca163d5/,2013,80279
Opel Combo PCMA XL,https://auto.ru/cars/new/group/opel/combo/22795676/22795893/1103283579-07a7c5e8/,2021,0
Opel Astra H Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103394161-4a108348/,2009,178700
Opel Zafira B,https://auto.ru/cars/used/sale/opel/zafira/1102975397-12323c2e/,2006,326346
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1103242708-d9ec1a1d/,2007,173477
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1102960881-a2670a1a/,2021,0
Opel Vectra C,https://auto.ru/cars/used/sale/opel/vectra/1103168073-bd13a4d7/,2003,180000
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1102343771-1fe35f50/,2012,119154
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103393541-6ca68e85/,2012,174000
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103311207-cc295e2f/,2008,278518
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103392189-2d64c3b4/,2011,91636
Opel Meriva B,https://auto.ru/cars/used/sale/opel/meriva/1103390188-7dc09a8f/,2013,78000
Opel Astra H Рестайлинг,https://auto.ru/cars/used/sale/opel/astra/1103390772-19b57d9c/,2012,109745
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1103032837-06eed7b2/,2021,0
Opel Insignia I Рестайлинг,https://auto.ru/cars/used/sale/opel/insignia/1103390261-af43b3f7/,2014,94091
Opel Antara I Рестайлинг,https://auto.ru/cars/used/sale/opel/antara/1103390710-e70f737b/,2013,110500
Opel Grandland X I,https://auto.ru/cars/new/group/opel/grandland_x/21742759/21743057/1103033631-c7451d12/,2020,0
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103391107-562e5c73/,2014,114132
Opel Antara I Рестайлинг,https://auto.ru/cars/used/sale/opel/antara/1102824994-28236d2b/,2012,93200
Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1103390719-74e8f9d1/,2013,75079
Opel Corsa D,https://auto.ru/cars/used/sale/opel/corsa/1102834920-75fcee55/,2007,107073
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103388527-9e154281/,2012,144000
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1102354660-ab2fbd0d/,2012,180000
Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1103387201-0ea580d3/,2013,46368
Opel Astra J Рестайлинг GTC,https://auto.ru/cars/used/sale/opel/astra/1103124963-c41feb3f/,2013,95000
Opel Zafira Life I L,https://auto.ru/cars/new/group/opel/zafira_life/21743459/21743698/1103207095-9ec36ce4/,2021,0
Opel Meriva B Рестайлинг,https://auto.ru/cars/used/sale/opel/meriva/1103387050-2bc6944b/,2014,71000
Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1103386697-9c8a0cd1/,2012,147297
